,ParkName,ParkType,Region,State,Year,RecreationVisitsTotal,RecreationHoursTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal
275,Acadia,National Park,Northeast ,ME,2001,2516551,13467741,118545,24747,0
287,Acadia,National Park,Northeast ,ME,2002,2558572,13683657,122340,22545,0
299,Acadia,National Park,Northeast ,ME,2003,2431062,13012171,117369,21876,0
311,Acadia,National Park,Northeast ,ME,2004,2207847,11822104,101577,19878,0
323,Acadia,National Park,Northeast ,ME,2005,2051484,10568105,85815,19302,1157
335,Acadia,National Park,Northeast ,ME,2006,2083588,10720555,96252,22299,1306
347,Acadia,National Park,Northeast ,ME,2007,2202228,11331597,98586,23280,1091
359,Acadia,National Park,Northeast ,ME,2008,2075857,10635395,101028,21198,1229
371,Acadia,National Park,Northeast ,ME,2009,2227698,11447560,105042,22755,1037
383,Acadia,National Park,Northeast ,ME,2010,2504208,12827516,121287,28821,974
395,Acadia,National Park,Northeast ,ME,2011,2374645,12101384,117879,27519,1157
407,Acadia,National Park,Northeast ,ME,2012,2431052,12458831,124482,26760,1316
419,Acadia,National Park,Northeast ,ME,2013,2254922,11347331,114753,29025,1166
431,Acadia,National Park,Northeast ,ME,2014,2563129,13085317,126474,33369,1230
443,Acadia,National Park,Northeast ,ME,2015,2811184,14452151,135000,32094,1233
455,Acadia,National Park,Northeast ,ME,2016,3303393,22698596,152811,46629,1324
467,Acadia,National Park,Northeast ,ME,2017,3509271,24014370,152586,55812,1597
479,Acadia,National Park,Northeast ,ME,2018,3537575,23613754,144744,58215,1472
491,Acadia,National Park,Northeast ,ME,2019,3437286,23195664,140985,57696,1284
767,Arches,National Park,Intermountain ,UT,2001,754026,3388006,29711,12466,414
779,Arches,National Park,Intermountain ,UT,2002,769672,3433320,29450,12074,402
791,Arches,National Park,Intermountain ,UT,2003,757781,3344489,28308,11974,341
803,Arches,National Park,Intermountain ,UT,2004,733131,3360965,29524,13616,378
815,Arches,National Park,Intermountain ,UT,2005,781670,3607089,32040,14380,471
827,Arches,National Park,Intermountain ,UT,2006,833049,3743632,30090,15454,286
839,Arches,National Park,Intermountain ,UT,2007,860181,3799550,29023,15081,277
851,Arches,National Park,Intermountain ,UT,2008,928795,4006852,29299,14595,366
863,Arches,National Park,Intermountain ,UT,2009,996312,4291467,30542,16411,808
875,Arches,National Park,Intermountain ,UT,2010,1014405,4173920,23616,15478,923
887,Arches,National Park,Intermountain ,UT,2011,1040758,4344187,26264,16643,1192
899,Arches,National Park,Intermountain ,UT,2012,1070577,4397956,27002,14742,851
911,Arches,National Park,Intermountain ,UT,2013,1082866,4432558,27705,14431,953
923,Arches,National Park,Intermountain ,UT,2014,1284767,5005854,25252,15436,1211
935,Arches,National Park,Intermountain ,UT,2015,1399247,5420170,27158,16565,1208
947,Arches,National Park,Intermountain ,UT,2016,1585718,6049250,28046,18658,1174
959,Arches,National Park,Intermountain ,UT,2017,1539028,4672677,1426,826,65
971,Arches,National Park,Intermountain ,UT,2018,1663557,5906859,17938,16157,368
983,Arches,National Park,Intermountain ,UT,2019,1659702,5912819,17523,16290,405
1259,Badlands,National Park,Midwest ,SD,2001,955469,4297133,27574,11279,692
1271,Badlands,National Park,Midwest ,SD,2002,908898,4036688,23192,10766,540
1283,Badlands,National Park,Midwest ,SD,2003,871034,3938898,25622,11153,384
1295,Badlands,National Park,Midwest ,SD,2004,936030,4178385,24225,12149,879
1307,Badlands,National Park,Midwest ,SD,2005,909146,3995845,18668,8751,654
1319,Badlands,National Park,Midwest ,SD,2006,840118,3695301,17578,8284,397
1331,Badlands,National Park,Midwest ,SD,2007,886654,4073686,16211,16506,710
1343,Badlands,National Park,Midwest ,SD,2008,845734,3689516,14787,7949,613
1355,Badlands,National Park,Midwest ,SD,2009,933918,4197338,25388,12232,1410
1367,Badlands,National Park,Midwest ,SD,2010,977778,4251417,3542,783,1658
1379,Badlands,National Park,Midwest ,SD,2011,870741,3930808,2645,464,1578
1391,Badlands,National Park,Midwest ,SD,2012,883406,3955172,2182,350,979
1403,Badlands,National Park,Midwest ,SD,2013,892372,4158056,9318,2071,1429
1415,Badlands,National Park,Midwest ,SD,2014,868094,4106567,8622,2740,1419
1427,Badlands,National Park,Midwest ,SD,2015,989354,4531214,4627,856,1445
1439,Badlands,National Park,Midwest ,SD,2016,996263,4703459,7934,1500,1410
1451,Badlands,National Park,Midwest ,SD,2017,1054325,4908225,4930,859,2433
1463,Badlands,National Park,Midwest ,SD,2018,1008942,4292825,2920,778,2926
1475,Badlands,National Park,Midwest ,SD,2019,970998,4192793,3490,930,2493
1751,Big Bend,National Park,Intermountain ,TX,2001,328927,8460924,35218,32493,28826
1763,Big Bend,National Park,Intermountain ,TX,2002,327747,8854930,42236,34607,30418
1775,Big Bend,National Park,Intermountain ,TX,2003,312384,7978597,33058,25630,29399
1787,Big Bend,National Park,Intermountain ,TX,2004,357723,8737332,33537,33921,29720
1799,Big Bend,National Park,Intermountain ,TX,2005,398583,9111468,32837,29739,28239
1811,Big Bend,National Park,Intermountain ,TX,2006,298717,7521290,30388,29546,22668
1823,Big Bend,National Park,Intermountain ,TX,2007,364856,8456245,32395,27400,21146
1835,Big Bend,National Park,Intermountain ,TX,2008,362512,8346364,34308,24361,19306
1847,Big Bend,National Park,Intermountain ,TX,2009,363905,8461636,38702,24039,20727
1859,Big Bend,National Park,Intermountain ,TX,2010,372330,8681727,39257,24522,22712
1871,Big Bend,National Park,Intermountain ,TX,2011,361862,7913527,36425,19139,16254
1883,Big Bend,National Park,Intermountain ,TX,2012,292055,7080216,35853,22916,15648
1895,Big Bend,National Park,Intermountain ,TX,2013,316953,7528114,39547,21962,19378
1907,Big Bend,National Park,Intermountain ,TX,2014,314102,8033287,47035,21990,24723
1919,Big Bend,National Park,Intermountain ,TX,2015,381747,9504644,53963,24420,32435
1931,Big Bend,National Park,Intermountain ,TX,2016,388290,10278521,64593,27385,41793
1943,Big Bend,National Park,Intermountain ,TX,2017,440276,11005448,65446,33529,42555
1955,Big Bend,National Park,Intermountain ,TX,2018,440091,10353573,55863,33209,23858
1967,Big Bend,National Park,Intermountain ,TX,2019,463832,10496353,54402,28845,23320
2243,Biscayne,National Park,Southeast ,FL,2001,489343,1468029,0,0,0
2255,Biscayne,National Park,Southeast ,FL,2002,513397,1540191,0,0,0
2267,Biscayne,National Park,Southeast ,FL,2003,490031,1470093,0,0,0
2279,Biscayne,National Park,Southeast ,FL,2004,478304,1434912,0,0,0
2291,Biscayne,National Park,Southeast ,FL,2005,563728,1691184,0,0,0
2303,Biscayne,National Park,Southeast ,FL,2006,608836,2018511,248,0,0
2315,Biscayne,National Park,Southeast ,FL,2007,517442,1758365,2002,0,0
2327,Biscayne,National Park,Southeast ,FL,2008,686062,2207855,807,0,0
2339,Biscayne,National Park,Southeast ,FL,2009,437745,1512836,934,0,0
2351,Biscayne,National Park,Southeast ,FL,2010,467612,1707680,4064,0,0
2363,Biscayne,National Park,Southeast ,FL,2011,476077,1763868,4552,0,0
2375,Biscayne,National Park,Southeast ,FL,2012,495613,1712156,3462,0,0
2387,Biscayne,National Park,Southeast ,FL,2013,486848,1637011,2436,0,0
2399,Biscayne,National Park,Southeast ,FL,2014,525745,1730164,2044,0,0
2411,Biscayne,National Park,Southeast ,FL,2015,508164,1672449,1860,0,0
2423,Biscayne,National Park,Southeast ,FL,2016,514709,1713035,2522,0,0
2435,Biscayne,National Park,Southeast ,FL,2017,446961,1529665,2452,0,0
2447,Biscayne,National Park,Southeast ,FL,2018,469253,1573531,2119,0,0
2459,Biscayne,National Park,Southeast ,FL,2019,708522,2205175,238,0,0
2735,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2001,181018,976823,7318,4751,1729
2747,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2002,173687,904213,6355,3811,1884
2759,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2003,167247,960008,5726,7110,2037
2771,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2004,175581,993493,6948,6637,1782
2783,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2005,180814,960922,6691,5464,1635
2795,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2006,160450,859668,6410,4624,1829
2807,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2007,219576,1057141,7271,6401,1705
2819,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2008,160185,897618,7021,5540,1259
2831,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2009,171451,937746,7341,5771,1412
2843,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2010,176344,985916,8165,7089,1146
2855,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2011,168336,1024767,9919,7568,631
2867,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2012,192570,1141549,10057,8979,666
2879,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2013,175852,1072655,9949,8306,575
2891,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2014,183045,1051737,9685,7369,390
2903,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2015,209166,1226426,12490,8619,1090
2915,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2016,238018,1595539,19070,11878,1936
2927,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2017,307143,1746554,18795,12257,1708
2939,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2018,308962,1847721,19527,12531,2088
2951,Black Canyon of the Gunnison,National Park,Intermountain ,CO,2019,432818,2194503,17796,12273,1861
3227,Bryce Canyon,National Park,Intermountain ,UT,2001,1068619,8255085,33618,54690,1864
3239,Bryce Canyon,National Park,Intermountain ,UT,2002,886436,7339928,40237,42370,1928
3251,Bryce Canyon,National Park,Intermountain ,UT,2003,903760,7266085,37635,39395,1988
3263,Bryce Canyon,National Park,Intermountain ,UT,2004,987253,7799166,46197,39444,1450
3275,Bryce Canyon,National Park,Intermountain ,UT,2005,1017681,7762827,35793,42517,1548
3287,Bryce Canyon,National Park,Intermountain ,UT,2006,890676,7239189,32045,47901,1291
3299,Bryce Canyon,National Park,Intermountain ,UT,2007,1012563,8047845,34069,50455,1432
3311,Bryce Canyon,National Park,Intermountain ,UT,2008,1043321,7936639,32661,49545,1300
3323,Bryce Canyon,National Park,Intermountain ,UT,2009,1216377,9177322,37822,56155,1824
3335,Bryce Canyon,National Park,Intermountain ,UT,2010,1285492,9419580,39591,52279,1918
3347,Bryce Canyon,National Park,Intermountain ,UT,2011,1296000,9008216,35527,45014,1702
3359,Bryce Canyon,National Park,Intermountain ,UT,2012,1385352,9580048,41299,50386,1712
3371,Bryce Canyon,National Park,Intermountain ,UT,2013,1311875,9178420,37839,48291,1662
3383,Bryce Canyon,National Park,Intermountain ,UT,2014,1435741,9679041,38054,50005,1449
3395,Bryce Canyon,National Park,Intermountain ,UT,2015,1745804,11039361,36532,56658,2072
3407,Bryce Canyon,National Park,Intermountain ,UT,2016,2365110,13615150,38192,62768,2684
3419,Bryce Canyon,National Park,Intermountain ,UT,2017,2571684,14027927,33492,61386,2414
3431,Bryce Canyon,National Park,Intermountain ,UT,2018,2679478,13867092,49747,29619,2603
3443,Bryce Canyon,National Park,Intermountain ,UT,2019,2594904,12705683,30080,23653,1394
3719,Canyonlands,National Park,Intermountain ,UT,2001,368592,3971673,19287,7787,70745
3731,Canyonlands,National Park,Intermountain ,UT,2002,367078,3682054,16907,7512,62365
3743,Canyonlands,National Park,Intermountain ,UT,2003,386986,3795399,16888,7939,64009
3755,Canyonlands,National Park,Intermountain ,UT,2004,371706,3757107,16504,7514,65281
3767,Canyonlands,National Park,Intermountain ,UT,2005,393381,3942040,15335,8035,69708
3779,Canyonlands,National Park,Intermountain ,UT,2006,392537,3677169,15413,7690,59478
3791,Canyonlands,National Park,Intermountain ,UT,2007,417560,3865946,13444,7770,64750
3803,Canyonlands,National Park,Intermountain ,UT,2008,436715,4017992,14633,8454,68810
3815,Canyonlands,National Park,Intermountain ,UT,2009,436241,3878863,14424,7486,62595
3827,Canyonlands,National Park,Intermountain ,UT,2010,435908,3821727,13730,8019,61368
3839,Canyonlands,National Park,Intermountain ,UT,2011,473773,3990376,15797,8097,60557
3851,Canyonlands,National Park,Intermountain ,UT,2012,452952,3769342,14846,7275,58546
3863,Canyonlands,National Park,Intermountain ,UT,2013,462242,3824426,13013,8073,60691
3875,Canyonlands,National Park,Intermountain ,UT,2014,542431,4630684,14892,8810,77518
3887,Canyonlands,National Park,Intermountain ,UT,2015,634607,4821672,13638,8470,74388
3899,Canyonlands,National Park,Intermountain ,UT,2016,776218,5566971,13513,8288,86227
3911,Canyonlands,National Park,Intermountain ,UT,2017,742271,5375294,13565,8519,82188
3923,Canyonlands,National Park,Intermountain ,UT,2018,739449,5301793,13221,10517,78375
3935,Canyonlands,National Park,Intermountain ,UT,2019,733996,5152749,9135,7785,77695
4211,Capitol Reef,National Park,Intermountain ,UT,2001,527760,986968,16341,17928,1721
4223,Capitol Reef,National Park,Intermountain ,UT,2002,525646,1021578,16380,23462,1646
4235,Capitol Reef,National Park,Intermountain ,UT,2003,535441,1011468,15415,17986,1226
4247,Capitol Reef,National Park,Intermountain ,UT,2004,549708,975395,15607,17779,1477
4259,Capitol Reef,National Park,Intermountain ,UT,2005,550255,1011345,14154,17638,1544
4271,Capitol Reef,National Park,Intermountain ,UT,2006,511511,949475,12147,17372,1158
4283,Capitol Reef,National Park,Intermountain ,UT,2007,554907,1018507,14189,17876,1136
4295,Capitol Reef,National Park,Intermountain ,UT,2008,604811,1090288,17195,17490,1435
4307,Capitol Reef,National Park,Intermountain ,UT,2009,617208,1093735,14526,17710,1453
4319,Capitol Reef,National Park,Intermountain ,UT,2010,662661,1073223,15996,18955,1652
4331,Capitol Reef,National Park,Intermountain ,UT,2011,668834,1123186,14771,18434,1504
4343,Capitol Reef,National Park,Intermountain ,UT,2012,673345,1127335,16733,16976,1810
4355,Capitol Reef,National Park,Intermountain ,UT,2013,663670,1129956,15213,17565,1981
4367,Capitol Reef,National Park,Intermountain ,UT,2014,786514,1378190,17147,21285,2081
4379,Capitol Reef,National Park,Intermountain ,UT,2015,941029,1421877,18334,20695,2593
4391,Capitol Reef,National Park,Intermountain ,UT,2016,1064904,1604678,19507,20917,2996
4403,Capitol Reef,National Park,Intermountain ,UT,2017,1150165,1716156,18139,20824,3813
4415,Capitol Reef,National Park,Intermountain ,UT,2018,1227627,1919904,24822,27143,4048
4427,Capitol Reef,National Park,Intermountain ,UT,2019,1226519,1909572,25665,23993,4010
4703,Carlsbad Caverns,National Park,Intermountain ,NM,2001,455621,1788843,0,0,157
4715,Carlsbad Caverns,National Park,Intermountain ,NM,2002,476259,1870528,0,0,162
4727,Carlsbad Caverns,National Park,Intermountain ,NM,2003,457631,1807931,0,0,160
4739,Carlsbad Caverns,National Park,Intermountain ,NM,2004,419599,1648105,0,0,155
4751,Carlsbad Caverns,National Park,Intermountain ,NM,2005,413786,1632485,0,0,137
4763,Carlsbad Caverns,National Park,Intermountain ,NM,2006,407367,1616083,0,0,95
4775,Carlsbad Caverns,National Park,Intermountain ,NM,2007,409560,1625936,0,0,93
4787,Carlsbad Caverns,National Park,Intermountain ,NM,2008,400381,1580313,0,0,86
4799,Carlsbad Caverns,National Park,Intermountain ,NM,2009,432639,1696043,0,0,114
4811,Carlsbad Caverns,National Park,Intermountain ,NM,2010,428524,1675616,0,0,170
4823,Carlsbad Caverns,National Park,Intermountain ,NM,2011,365000,1419948,0,0,107
4835,Carlsbad Caverns,National Park,Intermountain ,NM,2012,381058,1479016,0,0,151
4847,Carlsbad Caverns,National Park,Intermountain ,NM,2013,388566,1512477,0,0,176
4859,Carlsbad Caverns,National Park,Intermountain ,NM,2014,397309,1530605,0,0,146
4871,Carlsbad Caverns,National Park,Intermountain ,NM,2015,445720,1739670,0,0,135
4883,Carlsbad Caverns,National Park,Intermountain ,NM,2016,466773,1808212,0,0,251
4895,Carlsbad Caverns,National Park,Intermountain ,NM,2017,520026,1995967,0,0,202
4907,Carlsbad Caverns,National Park,Intermountain ,NM,2018,465912,1796367,0,0,184
4919,Carlsbad Caverns,National Park,Intermountain ,NM,2019,440691,1687906,0,0,225
5195,Channel Islands,National Park,Pacific West ,CA,2001,520428,5318089,0,0,10326
5207,Channel Islands,National Park,Pacific West ,CA,2002,613935,6872196,0,0,13338
5219,Channel Islands,National Park,Pacific West ,CA,2003,585919,6226806,0,0,15318
5231,Channel Islands,National Park,Pacific West ,CA,2004,537716,5943183,0,0,17086
5242,Channel Islands,National Park,Pacific West ,CA,2005,434107,5403121,0,0,19174
5254,Channel Islands,National Park,Pacific West ,CA,2006,375256,4337180,0,0,17692
5266,Channel Islands,National Park,Pacific West ,CA,2007,360806,3819496,0,0,17801
5278,Channel Islands,National Park,Pacific West ,CA,2008,332177,3393067,0,0,16949
5290,Channel Islands,National Park,Pacific West ,CA,2009,348745,3351421,0,0,20197
5302,Channel Islands,National Park,Pacific West ,CA,2010,277515,1826552,0,0,37071
5314,Channel Islands,National Park,Pacific West ,CA,2011,242756,1660978,0,0,22831
5326,Channel Islands,National Park,Pacific West ,CA,2012,249594,2154055,0,0,19785
5338,Channel Islands,National Park,Pacific West ,CA,2013,212029,1635258,0,0,20032
5350,Channel Islands,National Park,Pacific West ,CA,2014,342161,3525766,0,0,23068
5362,Channel Islands,National Park,Pacific West ,CA,2015,324816,3311255,0,0,23326
5374,Channel Islands,National Park,Pacific West ,CA,2016,364807,3465495,0,0,22885
5386,Channel Islands,National Park,Pacific West ,CA,2017,383687,3932871,0,0,22934
5398,Channel Islands,National Park,Pacific West ,CA,2018,366250,3725066,0,0,21463
5410,Channel Islands,National Park,Pacific West ,CA,2019,409630,5411445,0,0,23411
5614,Congaree,National Park,Southeast ,SC,2001,119738,385094,0,0,454
5626,Congaree,National Park,Southeast ,SC,2002,101620,326222,0,0,439
5638,Congaree,National Park,Southeast ,SC,2003,107114,342780,0,0,212
5650,Congaree,National Park,Southeast ,SC,2004,126247,409626,0,0,477
5662,Congaree,National Park,Southeast ,SC,2005,84301,293040,0,0,490
5674,Congaree,National Park,Southeast ,SC,2006,134045,446632,0,0,686
5686,Congaree,National Park,Southeast ,SC,2007,115524,404050,0,0,795
5698,Congaree,National Park,Southeast ,SC,2008,104913,396095,0,0,1084
5710,Congaree,National Park,Southeast ,SC,2009,122970,448469,0,0,861
5722,Congaree,National Park,Southeast ,SC,2010,121208,463241,0,0,1174
5734,Congaree,National Park,Southeast ,SC,2011,120166,470562,0,0,1176
5746,Congaree,National Park,Southeast ,SC,2012,109685,436977,0,0,867
5758,Congaree,National Park,Southeast ,SC,2013,120340,449741,0,0,579
5770,Congaree,National Park,Southeast ,SC,2014,120122,423544,0,0,460
5782,Congaree,National Park,Southeast ,SC,2015,87513,336062,0,0,387
5794,Congaree,National Park,Southeast ,SC,2016,143843,562372,0,0,286
5806,Congaree,National Park,Southeast ,SC,2017,159595,703583,0,0,1424
5818,Congaree,National Park,Southeast ,SC,2018,145929,622647,0,0,1023
5830,Congaree,National Park,Southeast ,SC,2019,159445,670956,0,0,881
6106,Crater Lake,National Park,Pacific West ,OR,2001,457373,3030109,4292,0,2009
6118,Crater Lake,National Park,Pacific West ,OR,2002,456620,3031424,6803,0,1464
6130,Crater Lake,National Park,Pacific West ,OR,2003,479183,2995663,3123,0,1500
6142,Crater Lake,National Park,Pacific West ,OR,2004,417066,2797701,4266,0,1830
6154,Crater Lake,National Park,Pacific West ,OR,2005,447240,2556858,2999,0,1142
6166,Crater Lake,National Park,Pacific West ,OR,2006,388972,2485062,2401,0,1095
6178,Crater Lake,National Park,Pacific West ,OR,2007,468958,2942573,4165,0,1442
6190,Crater Lake,National Park,Pacific West ,OR,2008,415686,2705216,2751,0,1349
6202,Crater Lake,National Park,Pacific West ,OR,2009,446516,3041339,5076,0,1852
6214,Crater Lake,National Park,Pacific West ,OR,2010,448319,3047840,5778,0,1815
6226,Crater Lake,National Park,Pacific West ,OR,2011,423551,2902645,4241,0,1925
6238,Crater Lake,National Park,Pacific West ,OR,2012,447251,3160375,6527,0,2066
6250,Crater Lake,National Park,Pacific West ,OR,2013,523027,3539726,0,0,3022
6262,Crater Lake,National Park,Pacific West ,OR,2014,535508,3543833,3313,0,2929
6274,Crater Lake,National Park,Pacific West ,OR,2015,614712,4033484,7548,0,3253
6286,Crater Lake,National Park,Pacific West ,OR,2016,756344,4456078,6280,0,4706
6298,Crater Lake,National Park,Pacific West ,OR,2017,711749,3851809,4317,0,2851
6310,Crater Lake,National Park,Pacific West ,OR,2018,720659,4103920,6739,0,2584
6322,Crater Lake,National Park,Pacific West ,OR,2019,704512,3411782,4694,0,2436
6598,Cuyahoga Valley,National Park,Midwest ,OH,2001,3123353,9478567,0,0,0
6610,Cuyahoga Valley,National Park,Midwest ,OH,2002,3217935,10079269,0,0,0
6622,Cuyahoga Valley,National Park,Midwest ,OH,2003,2879591,8981429,0,0,0
6634,Cuyahoga Valley,National Park,Midwest ,OH,2004,3306175,10652294,0,0,0
6646,Cuyahoga Valley,National Park,Midwest ,OH,2005,2533827,7764895,0,0,0
6658,Cuyahoga Valley,National Park,Midwest ,OH,2006,2468816,7485631,0,0,0
6670,Cuyahoga Valley,National Park,Midwest ,OH,2007,2486656,7453337,0,0,0
6682,Cuyahoga Valley,National Park,Midwest ,OH,2008,2828233,7632052,0,0,0
6694,Cuyahoga Valley,National Park,Midwest ,OH,2009,2589288,7030280,0,0,0
6706,Cuyahoga Valley,National Park,Midwest ,OH,2010,2492670,7331201,0,0,0
6718,Cuyahoga Valley,National Park,Midwest ,OH,2011,2161185,6497835,0,0,0
6730,Cuyahoga Valley,National Park,Midwest ,OH,2012,2299722,7025556,0,0,0
6742,Cuyahoga Valley,National Park,Midwest ,OH,2013,2103010,6422427,0,0,0
6754,Cuyahoga Valley,National Park,Midwest ,OH,2014,2189849,6573737,0,0,0
6766,Cuyahoga Valley,National Park,Midwest ,OH,2015,2284612,6798355,0,0,0
6778,Cuyahoga Valley,National Park,Midwest ,OH,2016,2423390,7099454,0,0,0
6790,Cuyahoga Valley,National Park,Midwest ,OH,2017,2226879,6389081,0,0,0
6802,Cuyahoga Valley,National Park,Midwest ,OH,2018,2096053,6266804,0,0,0
6814,Cuyahoga Valley,National Park,Midwest ,OH,2019,2237997,6555235,0,0,0
7090,Death Valley,National Park,Pacific West ,CA,2001,1014636,7601696,44982,137046,0
7102,Death Valley,National Park,Pacific West ,CA,2002,897596,7085885,44801,107481,0
7114,Death Valley,National Park,Pacific West ,CA,2003,890375,7853970,48380,164888,0
7126,Death Valley,National Park,Pacific West ,CA,2004,764820,6237523,32601,108064,0
7138,Death Valley,National Park,Pacific West ,CA,2005,800113,7126998,70905,137431,0
7150,Death Valley,National Park,Pacific West ,CA,2006,744440,6447925,48259,117029,0
7162,Death Valley,National Park,Pacific West ,CA,2007,704122,6011496,43619,106160,0
7174,Death Valley,National Park,Pacific West ,CA,2008,871938,6895474,50851,92604,0
7186,Death Valley,National Park,Pacific West ,CA,2009,828574,6855787,55847,102113,0
7198,Death Valley,National Park,Pacific West ,CA,2010,984775,7823343,70222,102720,0
7210,Death Valley,National Park,Pacific West ,CA,2011,946867,7644868,64842,100756,0
7222,Death Valley,National Park,Pacific West ,CA,2012,984568,7304790,45159,78338,0
7234,Death Valley,National Park,Pacific West ,CA,2013,951972,6859469,53939,71322,0
7246,Death Valley,National Park,Pacific West ,CA,2014,1101312,7698952,53868,67415,0
7258,Death Valley,National Park,Pacific West ,CA,2015,1154843,8155299,64718,66445,0
7270,Death Valley,National Park,Pacific West ,CA,2016,1296283,9769738,97443,106399,0
7282,Death Valley,National Park,Pacific West ,CA,2017,1294827,9611792,80544,96071,0
7294,Death Valley,National Park,Pacific West ,CA,2018,1678660,11753292,78970,97563,1485
7306,Death Valley,National Park,Pacific West ,CA,2019,1740945,12025316,74511,97574,1915
7582,Denali & PRES,National Park,Alaska,AK,2001,360191,5490820,13061,29809,35301
7594,Denali & PRES,National Park,Alaska,AK,2002,311335,4232665,15517,12183,24115
7606,Denali & PRES,National Park,Alaska,AK,2003,360189,5645752,24336,38234,33170
7618,Denali & PRES,National Park,Alaska,AK,2004,404236,6447773,34541,51211,34016
7630,Denali & PRES,National Park,Alaska,AK,2005,403520,6195588,29253,53198,30833
7642,Denali & PRES,National Park,Alaska,AK,2006,415935,6191670,21904,47432,28623
7654,Denali & PRES,National Park,Alaska,AK,2007,458308,6599605,23877,38428,30919
7666,Denali & PRES,National Park,Alaska,AK,2008,432309,6469985,31715,28686,31621
7678,Denali & PRES,National Park,Alaska,AK,2009,358041,5482934,18857,39920,29855
7690,Denali & PRES,National Park,Alaska,AK,2010,378855,6152569,22570,43486,38625
